fecha,mes,año,semana,trimestre,area_proceso,procesos_totales,procesos_documentados,porcentaje_documentacion,estado
2020-01-05,2020-01,2020,1,Q1,Gestión de Proyectos,9,6,67.62,Riesgo Alto
2020-01-05,2020-01,2020,1,Q1,Gestión de Requisitos,13,8,67.07,Riesgo Alto
2020-01-05,2020-01,2020,1,Q1,Desarrollo de Software,14,10,73.89,Aceptable
2020-01-05,2020-01,2020,1,Q1,Gestión de Configuración,5,3,74.04,Aceptable
2020-01-05,2020-01,2020,1,Q1,Aseguramiento de Calidad,11,7,67.61,Riesgo Alto
2020-01-05,2020-01,2020,1,Q1,Gestión de Riesgos,9,6,71.62,Aceptable
2020-01-05,2020-01,2020,1,Q1,Gestión de Proveedores,12,7,65.69,Riesgo Alto
2020-01-05,2020-01,2020,1,Q1,Medición y Análisis,10,7,73.29,Aceptable
2020-01-05,2020-01,2020,1,Q1,Mejora de Procesos,6,4,71.06,Aceptable
2020-01-05,2020-01,2020,1,Q1,Gestión de Recursos Humanos,8,5,72.88,Aceptable
2020-01-12,2020-01,2020,2,Q1,Gestión de Proyectos,10,7,73.84,Aceptable
2020-01-12,2020-01,2020,2,Q1,Gestión de Requisitos,7,4,70.67,Aceptable
2020-01-12,2020-01,2020,2,Q1,Desarrollo de Software,12,7,65.44,Riesgo Alto
2020-01-12,2020-01,2020,2,Q1,Gestión de Configuración,5,3,72.1,Aceptable
2020-01-12,2020-01,2020,2,Q1,Aseguramiento de Calidad,8,5,65.99,Riesgo Alto
2020-01-12,2020-01,2020,2,Q1,Gestión de Riesgos,9,6,70.25,Aceptable
2020-01-12,2020-01,2020,2,Q1,Gestión de Proveedores,12,8,71.1,Aceptable
2020-01-12,2020-01,2020,2,Q1,Medición y Análisis,12,7,66.38,Riesgo Alto
2020-01-12,2020-01,2020,2,Q1,Mejora de Procesos,10,7,71.02,Aceptable
2020-01-12,2020-01,2020,2,Q1,Gestión de Recursos Humanos,12,8,73.92,Aceptable
2020-01-19,2020-01,2020,3,Q1,Gestión de Proyectos,9,6,74.11,Aceptable
2020-01-19,2020-01,2020,3,Q1,Gestión de Requisitos,12,8,71.33,Aceptable
2020-01-19,2020-01,2020,3,Q1,Desarrollo de Software,13,8,66.8,Riesgo Alto
2020-01-19,2020-01,2020,3,Q1,Gestión de Configuración,11,7,72.4,Aceptable
2020-01-19,2020-01,2020,3,Q1,Aseguramiento de Calidad,12,8,68.18,Riesgo Alto
2020-01-19,2020-01,2020,3,Q1,Gestión de Riesgos,10,7,75.07,Aceptable
2020-01-19,2020-01,2020,3,Q1,Gestión de Proveedores,8,5,74.2,Aceptable
2020-01-19,2020-01,2020,3,Q1,Medición y Análisis,8,5,69.6,Riesgo Alto
2020-01-19,2020-01,2020,3,Q1,Mejora de Procesos,12,8,71.25,Aceptable
2020-01-19,2020-01,2020,3,Q1,Gestión de Recursos Humanos,11,8,73.59,Aceptable
2020-01-26,2020-01,2020,4,Q1,Gestión de Proyectos,8,5,71.43,Aceptable
2020-01-26,2020-01,2020,4,Q1,Gestión de Requisitos,12,8,74.71,Aceptable
2020-01-26,2020-01,2020,4,Q1,Desarrollo de Software,11,7,72.61,Aceptable
2020-01-26,2020-01,2020,4,Q1,Gestión de Configuración,9,6,71.45,Aceptable
2020-01-26,2020-01,2020,4,Q1,Aseguramiento de Calidad,13,9,70.09,Aceptable
2020-01-26,2020-01,2020,4,Q1,Gestión de Riesgos,9,6,69.42,Riesgo Alto
2020-01-26,2020-01,2020,4,Q1,Gestión de Proveedores,10,6,68.12,Riesgo Alto
2020-01-26,2020-01,2020,4,Q1,Medición y Análisis,8,5,71.94,Aceptable
2020-01-26,2020-01,2020,4,Q1,Mejora de Procesos,14,9,67.34,Riesgo Alto
2020-01-26,2020-01,2020,4,Q1,Gestión de Recursos Humanos,9,6,67.56,Riesgo Alto
2020-02-02,2020-02,2020,5,Q1,Gestión de Proyectos,9,6,74.73,Aceptable
2020-02-02,2020-02,2020,5,Q1,Gestión de Requisitos,10,7,71.63,Aceptable
2020-02-02,2020-02,2020,5,Q1,Desarrollo de Software,10,6,67.46,Riesgo Alto
2020-02-02,2020-02,2020,5,Q1,Gestión de Configuración,11,7,72.29,Aceptable
2020-02-02,2020-02,2020,5,Q1,Aseguramiento de Calidad,13,9,73.17,Aceptable
2020-02-02,2020-02,2020,5,Q1,Gestión de Riesgos,11,8,75.31,Aceptable
2020-02-02,2020-02,2020,5,Q1,Gestión de Proveedores,5,3,68.32,Riesgo Alto
2020-02-02,2020-02,2020,5,Q1,Medición y Análisis,6,4,75.37,Aceptable
2020-02-02,2020-02,2020,5,Q1,Mejora de Procesos,8,5,68.1,Riesgo Alto
2020-02-02,2020-02,2020,5,Q1,Gestión de Recursos Humanos,13,9,74.97,Aceptable
2020-02-09,2020-02,2020,6,Q1,Gestión de Proyectos,10,7,72.07,Aceptable
2020-02-09,2020-02,2020,6,Q1,Gestión de Requisitos,6,3,66.16,Riesgo Alto
2020-02-09,2020-02,2020,6,Q1,Desarrollo de Software,13,9,72.67,Aceptable
