proyecto,tipo_proyecto,fecha_inicio,año,registros_totales_disponibles,registros_analizados,cobertura_porcentaje,estado
Proyecto_0001,NLP,2020-01-08,2020,457312,415686,90.89787296334005,Alta representatividad
Proyecto_0002,NLP,2020-01-08,2020,177024,142570,80.53725241078953,Aceptable
Proyecto_0003,Clasificación,2020-01-06,2020,179916,148664,82.63020680001944,Aceptable
Proyecto_0004,Clasificación,2020-01-05,2020,320800,226868,70.7195384265455,Aceptable
Proyecto_0005,Visión,2020-01-10,2020,35008,28158,80.43431182992967,Aceptable
Proyecto_0006,Regresión,2020-01-13,2020,278674,207198,74.35143260456215,Aceptable
Proyecto_0007,NLP,2020-01-17,2020,111741,86241,77.17972610770333,Aceptable
Proyecto_0008,Optimización,2020-01-16,2020,324401,248347,76.55562696585521,Aceptable
Proyecto_0009,Optimización,2020-01-14,2020,444237,316281,71.19654063708644,Aceptable
Proyecto_0010,NLP,2020-01-14,2020,41163,33742,81.97285817643805,Aceptable
Proyecto_0011,Optimización,2020-01-22,2020,499667,417658,83.5874027413771,Aceptable
Proyecto_0012,Regresión,2020-01-23,2020,227174,192751,84.84762834571423,Aceptable
Proyecto_0013,Clustering,2020-01-21,2020,273034,223936,82.01771403280122,Aceptable
Proyecto_0014,Visión,2020-01-21,2020,38282,35452,92.6076992444439,Alta representatividad
Proyecto_0015,Visión,2020-01-23,2020,187405,133019,70.9796733728247,Aceptable
Proyecto_0016,Clasificación,2020-01-30,2020,244622,210274,85.95902375062477,Aceptable
Proyecto_0017,Clasificación,2020-01-28,2020,341601,316047,92.51942367064736,Alta representatividad
Proyecto_0018,Optimización,2020-01-30,2020,203697,144761,71.06704626372137,Aceptable
Proyecto_0019,Detección de Anomalías,2020-01-26,2020,496300,411452,82.90398198503021,Aceptable
Proyecto_0020,Análisis Predictivo,2020-01-30,2020,117835,100530,85.31470701492935,Aceptable
Proyecto_0021,Análisis Predictivo,2020-02-03,2020,303035,227165,74.96354948899362,Aceptable
Proyecto_0022,Optimización,2020-02-03,2020,350366,268257,76.56500282962938,Aceptable
Proyecto_0023,Optimización,2020-02-04,2020,324156,293119,90.42542677612715,Alta representatividad
Proyecto_0024,Clasificación,2020-02-04,2020,74870,63454,84.75234232444753,Aceptable
Proyecto_0025,NLP,2020-02-05,2020,393227,307543,78.21024612829363,Aceptable
Proyecto_0026,Clasificación,2020-02-13,2020,203544,182952,89.88363577920903,Aceptable
Proyecto_0027,Detección de Anomalías,2020-02-10,2020,104970,93858,89.41460492931039,Aceptable
Proyecto_0028,Clasificación,2020-02-12,2020,211966,167411,78.98044641801812,Aceptable
Proyecto_0029,Análisis Predictivo,2020-02-11,2020,44850,37093,82.70483839168112,Aceptable
Proyecto_0030,NLP,2020-02-14,2020,166425,145251,87.27749227197752,Aceptable
Proyecto_0031,Análisis Predictivo,2020-02-21,2020,132471,104552,78.9244796649324,Aceptable
Proyecto_0032,Clasificación,2020-02-16,2020,64181,55423,86.3542446860306,Aceptable
Proyecto_0033,Análisis Predictivo,2020-02-20,2020,257166,196803,76.52791699902609,Aceptable
Proyecto_0034,Clustering,2020-02-19,2020,483756,375358,77.59254151469473,Aceptable
