fecha,servicio,disponibilidad_porcentaje,tiempo_operativo_horas,tiempo_indisponible_horas,estado
2020-01-01,Sistema Tributario,98.9027,23.7366,0.2634,Riesgo Alto
2020-01-01,Portal Web,98.8789,23.7309,0.2691,Riesgo Alto
2020-01-01,API de Servicios,99.0366,23.7688,0.2312,Aceptable
2020-01-01,Sistema de Facturación,98.6427,23.6742,0.3258,Riesgo Alto
2020-01-01,Plataforma de Pagos,98.6974,23.6874,0.3126,Riesgo Alto
2020-01-01,Sistema Aduanero,92.7053,22.2493,1.7507,Riesgo Alto
2020-01-01,BI y Reportes,99.7243,23.9338,0.0662,Aceptable
2020-01-01,Infraestructura,98.9774,23.7546,0.2454,Riesgo Alto
2020-01-02,Sistema Tributario,99.5222,23.8853,0.1147,Aceptable
2020-01-02,Portal Web,98.5659,23.6558,0.3442,Riesgo Alto
2020-01-02,API de Servicios,98.699,23.6878,0.3122,Riesgo Alto
2020-01-02,Sistema de Facturación,99.8023,23.9525,0.0475,Aceptable
2020-01-02,Plataforma de Pagos,99.2924,23.8302,0.1698,Aceptable
2020-01-02,Sistema Aduanero,99.3971,23.8553,0.1447,Aceptable
2020-01-02,BI y Reportes,98.8568,23.7256,0.2744,Riesgo Alto
2020-01-02,Infraestructura,99.7662,23.9439,0.0561,Aceptable
2020-01-03,Sistema Tributario,99.7202,23.9329,0.0671,Aceptable
2020-01-03,Portal Web,96.1717,23.0812,0.9188,Riesgo Alto
2020-01-03,API de Servicios,99.6709,23.921,0.079,Aceptable
2020-01-03,Sistema de Facturación,98.7195,23.6927,0.3073,Riesgo Alto
2020-01-03,Plataforma de Pagos,99.3306,23.8394,0.1606,Aceptable
2020-01-03,Sistema Aduanero,99.1222,23.7893,0.2107,Aceptable
2020-01-03,BI y Reportes,99.5497,23.8919,0.1081,Aceptable
2020-01-03,Infraestructura,96.1088,23.0661,0.9339,Riesgo Alto
2020-01-04,Sistema Tributario,99.7147,23.9315,0.0685,Aceptable
2020-01-04,Portal Web,97.8044,23.4731,0.5269,Riesgo Alto
2020-01-04,API de Servicios,99.9302,23.9832,0.0168,Alta
2020-01-04,Sistema de Facturación,98.6025,23.6646,0.3354,Riesgo Alto
2020-01-04,Plataforma de Pagos,99.7939,23.9505,0.0495,Aceptable
2020-01-04,Sistema Aduanero,99.544,23.8906,0.1094,Aceptable
2020-01-04,BI y Reportes,98.6544,23.6771,0.3229,Riesgo Alto
2020-01-04,Infraestructura,99.8113,23.9547,0.0453,Aceptable
2020-01-05,Sistema Tributario,99.6478,23.9155,0.0845,Aceptable
2020-01-05,Portal Web,99.8451,23.9628,0.0372,Aceptable
2020-01-05,API de Servicios,98.8259,23.7182,0.2818,Riesgo Alto
2020-01-05,Sistema de Facturación,98.882,23.7317,0.2683,Riesgo Alto
