sprint,fecha_inicio,año,semana,equipo,velocidad_puntos_historia,tendencia,rendimiento
Sprint_001,2020-01-05,2020,1,Equipo Desarrollo,54,Creciente,Buen rendimiento
Sprint_001,2020-01-05,2020,1,Equipo Infraestructura,52,Creciente,Buen rendimiento
Sprint_001,2020-01-05,2020,1,Equipo Seguridad,36,Estable,Buen rendimiento
Sprint_001,2020-01-05,2020,1,Equipo Datos,24,Decreciente,Posible sobrecarga
Sprint_001,2020-01-05,2020,1,Equipo Integración,54,Creciente,Buen rendimiento
Sprint_002,2020-01-12,2020,2,Equipo Desarrollo,38,Estable,Buen rendimiento
Sprint_002,2020-01-12,2020,2,Equipo Infraestructura,53,Creciente,Buen rendimiento
Sprint_002,2020-01-12,2020,2,Equipo Seguridad,51,Creciente,Buen rendimiento
Sprint_002,2020-01-12,2020,2,Equipo Datos,44,Estable,Buen rendimiento
Sprint_002,2020-01-12,2020,2,Equipo Integración,41,Estable,Buen rendimiento
Sprint_003,2020-01-19,2020,3,Equipo Desarrollo,58,Creciente,Buen rendimiento
Sprint_003,2020-01-19,2020,3,Equipo Infraestructura,46,Creciente,Buen rendimiento
Sprint_003,2020-01-19,2020,3,Equipo Seguridad,52,Creciente,Buen rendimiento
Sprint_003,2020-01-19,2020,3,Equipo Datos,27,Decreciente,Posible sobrecarga
Sprint_003,2020-01-19,2020,3,Equipo Integración,49,Creciente,Buen rendimiento
Sprint_004,2020-01-26,2020,4,Equipo Desarrollo,45,Creciente,Buen rendimiento
Sprint_004,2020-01-26,2020,4,Equipo Infraestructura,34,Decreciente,Posible sobrecarga
Sprint_004,2020-01-26,2020,4,Equipo Seguridad,55,Creciente,Buen rendimiento
Sprint_004,2020-01-26,2020,4,Equipo Datos,31,Decreciente,Posible sobrecarga
Sprint_004,2020-01-26,2020,4,Equipo Integración,31,Decreciente,Posible sobrecarga
Sprint_005,2020-02-02,2020,5,Equipo Desarrollo,23,Decreciente,Posible sobrecarga
Sprint_005,2020-02-02,2020,5,Equipo Infraestructura,22,Decreciente,Posible sobrecarga
Sprint_005,2020-02-02,2020,5,Equipo Seguridad,56,Creciente,Buen rendimiento
Sprint_005,2020-02-02,2020,5,Equipo Datos,57,Creciente,Buen rendimiento
Sprint_005,2020-02-02,2020,5,Equipo Integración,51,Creciente,Buen rendimiento
Sprint_006,2020-02-09,2020,6,Equipo Desarrollo,45,Creciente,Buen rendimiento
Sprint_006,2020-02-09,2020,6,Equipo Infraestructura,23,Decreciente,Posible sobrecarga
Sprint_006,2020-02-09,2020,6,Equipo Seguridad,20,Decreciente,Posible sobrecarga
Sprint_006,2020-02-09,2020,6,Equipo Datos,24,Decreciente,Posible sobrecarga
Sprint_006,2020-02-09,2020,6,Equipo Integración,21,Decreciente,Posible sobrecarga
Sprint_007,2020-02-16,2020,7,Equipo Desarrollo,30,Decreciente,Posible sobrecarga
Sprint_007,2020-02-16,2020,7,Equipo Infraestructura,28,Decreciente,Posible sobrecarga
Sprint_007,2020-02-16,2020,7,Equipo Seguridad,27,Decreciente,Posible sobrecarga
Sprint_007,2020-02-16,2020,7,Equipo Datos,58,Creciente,Buen rendimiento
Sprint_007,2020-02-16,2020,7,Equipo Integración,34,Decreciente,Posible sobrecarga
Sprint_008,2020-02-23,2020,8,Equipo Desarrollo,28,Decreciente,Posible sobrecarga
Sprint_008,2020-02-23,2020,8,Equipo Infraestructura,49,Creciente,Buen rendimiento
Sprint_008,2020-02-23,2020,8,Equipo Seguridad,48,Creciente,Buen rendimiento
Sprint_008,2020-02-23,2020,8,Equipo Datos,44,Estable,Buen rendimiento
Sprint_008,2020-02-23,2020,8,Equipo Integración,41,Estable,Buen rendimiento
Sprint_009,2020-03-01,2020,9,Equipo Desarrollo,53,Creciente,Buen rendimiento
Sprint_009,2020-03-01,2020,9,Equipo Infraestructura,41,Estable,Buen rendimiento
Sprint_009,2020-03-01,2020,9,Equipo Seguridad,49,Creciente,Buen rendimiento
Sprint_009,2020-03-01,2020,9,Equipo Datos,29,Decreciente,Posible sobrecarga
Sprint_009,2020-03-01,2020,9,Equipo Integración,24,Decreciente,Posible sobrecarga
Sprint_010,2020-03-08,2020,10,Equipo Desarrollo,24,Decreciente,Posible sobrecarga
Sprint_010,2020-03-08,2020,10,Equipo Infraestructura,21,Decreciente,Posible sobrecarga
Sprint_010,2020-03-08,2020,10,Equipo Seguridad,49,Creciente,Buen rendimiento
Sprint_010,2020-03-08,2020,10,Equipo Datos,41,Estable,Buen rendimiento
Sprint_010,2020-03-08,2020,10,Equipo Integración,32,Decreciente,Posible sobrecarga
Sprint_011,2020-03-15,2020,11,Equipo Desarrollo,58,Creciente,Buen rendimiento
Sprint_011,2020-03-15,2020,11,Equipo Infraestructura,44,Estable,Buen rendimiento
Sprint_011,2020-03-15,2020,11,Equipo Seguridad,46,Creciente,Buen rendimiento
Sprint_011,2020-03-15,2020,11,Equipo Datos,46,Creciente,Buen rendimiento
Sprint_011,2020-03-15,2020,11,Equipo Integración,40,Estable,Buen rendimiento
Sprint_012,2020-03-22,2020,12,Equipo Desarrollo,50,Creciente,Buen rendimiento
Sprint_012,2020-03-22,2020,12,Equipo Infraestructura,34,Decreciente,Posible sobrecarga
Sprint_012,2020-03-22,2020,12,Equipo Seguridad,57,Creciente,Buen rendimiento
Sprint_012,2020-03-22,2020,12,Equipo Datos,58,Creciente,Buen rendimiento
Sprint_012,2020-03-22,2020,12,Equipo Integración,55,Creciente,Buen rendimiento
Sprint_013,2020-03-29,2020,13,Equipo Desarrollo,55,Creciente,Buen rendimiento
Sprint_013,2020-03-29,2020,13,Equipo Infraestructura,20,Decreciente,Posible sobrecarga
Sprint_013,2020-03-29,2020,13,Equipo Seguridad,30,Decreciente,Posible sobrecarga
Sprint_013,2020-03-29,2020,13,Equipo Datos,24,Decreciente,Posible sobrecarga
Sprint_013,2020-03-29,2020,13,Equipo Integración,53,Creciente,Buen rendimiento
Sprint_014,2020-04-05,2020,14,Equipo Desarrollo,56,Creciente,Buen rendimiento
Sprint_014,2020-04-05,2020,14,Equipo Infraestructura,24,Decreciente,Posible sobrecarga
Sprint_014,2020-04-05,2020,14,Equipo Seguridad,39,Estable,Buen rendimiento
Sprint_014,2020-04-05,2020,14,Equipo Datos,32,Decreciente,Posible sobrecarga
Sprint_014,2020-04-05,2020,14,Equipo Integración,28,Decreciente,Posible sobrecarga
Sprint_015,2020-04-12,2020,15,Equipo Desarrollo,24,Decreciente,Posible sobrecarga
Sprint_015,2020-04-12,2020,15,Equipo Infraestructura,57,Creciente,Buen rendimiento
Sprint_015,2020-04-12,2020,15,Equipo Seguridad,51,Creciente,Buen rendimiento
Sprint_015,2020-04-12,2020,15,Equipo Datos,49,Creciente,Buen rendimiento
Sprint_015,2020-04-12,2020,15,Equipo Integración,47,Creciente,Buen rendimiento
Sprint_016,2020-04-19,2020,16,Equipo Desarrollo,56,Creciente,Buen rendimiento
Sprint_016,2020-04-19,2020,16,Equipo Infraestructura,47,Creciente,Buen rendimiento
Sprint_016,2020-04-19,2020,16,Equipo Seguridad,25,Decreciente,Posible sobrecarga
Sprint_016,2020-04-19,2020,16,Equipo Datos,48,Creciente,Buen rendimiento
Sprint_016,2020-04-19,2020,16,Equipo Integración,23,Decreciente,Posible sobrecarga
Sprint_017,2020-04-26,2020,17,Equipo Desarrollo,37,Estable,Buen rendimiento
Sprint_017,2020-04-26,2020,17,Equipo Infraestructura,34,Decreciente,Posible sobrecarga
Sprint_017,2020-04-26,2020,17,Equipo Seguridad,44,Estable,Buen rendimiento
Sprint_017,2020-04-26,2020,17,Equipo Datos,23,Decreciente,Posible sobrecarga
Sprint_017,2020-04-26,2020,17,Equipo Integración,33,Decreciente,Posible sobrecarga
Sprint_018,2020-05-03,2020,18,Equipo Desarrollo,36,Estable,Buen rendimiento
Sprint_018,2020-05-03,2020,18,Equipo Infraestructura,53,Creciente,Buen rendimiento
Sprint_018,2020-05-03,2020,18,Equipo Seguridad,38,Estable,Buen rendimiento
Sprint_018,2020-05-03,2020,18,Equipo Datos,48,Creciente,Buen rendimiento
Sprint_018,2020-05-03,2020,18,Equipo Integración,41,Estable,Buen rendimiento
Sprint_019,2020-05-10,2020,19,Equipo Desarrollo,33,Decreciente,Posible sobrecarga
Sprint_019,2020-05-10,2020,19,Equipo Infraestructura,55,Creciente,Buen rendimiento
Sprint_019,2020-05-10,2020,19,Equipo Seguridad,21,Decreciente,Posible sobrecarga
Sprint_019,2020-05-10,2020,19,Equipo Datos,26,Decreciente,Posible sobrecarga
Sprint_019,2020-05-10,2020,19,Equipo Integración,47,Creciente,Buen rendimiento
Sprint_020,2020-05-17,2020,20,Equipo Desarrollo,27,Decreciente,Posible sobrecarga
Sprint_020,2020-05-17,2020,20,Equipo Infraestructura,48,Creciente,Buen rendimiento
Sprint_020,2020-05-17,2020,20,Equipo Seguridad,29,Decreciente,Posible sobrecarga
Sprint_020,2020-05-17,2020,20,Equipo Datos,40,Estable,Buen rendimiento
Sprint_020,2020-05-17,2020,20,Equipo Integración,54,Creciente,Buen rendimiento
Sprint_021,2020-05-24,2020,21,Equipo Desarrollo,23,Decreciente,Posible sobrecarga
Sprint_021,2020-05-24,2020,21,Equipo Infraestructura,40,Estable,Buen rendimiento
Sprint_021,2020-05-24,2020,21,Equipo Seguridad,57,Creciente,Buen rendimiento
Sprint_021,2020-05-24,2020,21,Equipo Datos,44,Estable,Buen rendimiento
Sprint_021,2020-05-24,2020,21,Equipo Integración,39,Estable,Buen rendimiento
Sprint_022,2020-05-31,2020,22,Equipo Desarrollo,26,Decreciente,Posible sobrecarga
Sprint_022,2020-05-31,2020,22,Equipo Infraestructura,26,Decreciente,Posible sobrecarga
Sprint_022,2020-05-31,2020,22,Equipo Seguridad,51,Creciente,Buen rendimiento
Sprint_022,2020-05-31,2020,22,Equipo Datos,51,Creciente,Buen rendimiento
Sprint_022,2020-05-31,2020,22,Equipo Integración,41,Estable,Buen rendimiento
Sprint_023,2020-06-07,2020,23,Equipo Desarrollo,44,Estable,Buen rendimiento
Sprint_023,2020-06-07,2020,23,Equipo Infraestructura,25,Decreciente,Posible sobrecarga
Sprint_023,2020-06-07,2020,23,Equipo Seguridad,46,Creciente,Buen rendimiento
Sprint_023,2020-06-07,2020,23,Equipo Datos,37,Estable,Buen rendimiento
Sprint_023,2020-06-07,2020,23,Equipo Integración,31,Decreciente,Posible sobrecarga
Sprint_024,2020-06-14,2020,24,Equipo Desarrollo,47,Creciente,Buen rendimiento
Sprint_024,2020-06-14,2020,24,Equipo Infraestructura,38,Estable,Buen rendimiento
Sprint_024,2020-06-14,2020,24,Equipo Seguridad,36,Estable,Buen rendimiento
Sprint_024,2020-06-14,2020,24,Equipo Datos,54,Creciente,Buen rendimiento
Sprint_024,2020-06-14,2020,24,Equipo Integración,34,Decreciente,Posible sobrecarga
Sprint_025,2020-06-21,2020,25,Equipo Desarrollo,24,Decreciente,Posible sobrecarga
Sprint_025,2020-06-21,2020,25,Equipo Infraestructura,56,Creciente,Buen rendimiento
Sprint_025,2020-06-21,2020,25,Equipo Seguridad,52,Creciente,Buen rendimiento
Sprint_025,2020-06-21,2020,25,Equipo Datos,40,Estable,Buen rendimiento
Sprint_025,2020-06-21,2020,25,Equipo Integración,55,Creciente,Buen rendimiento
Sprint_026,2020-06-28,2020,26,Equipo Desarrollo,46,Creciente,Buen rendimiento
Sprint_026,2020-06-28,2020,26,Equipo Infraestructura,49,Creciente,Buen rendimiento
Sprint_026,2020-06-28,2020,26,Equipo Seguridad,59,Creciente,Buen rendimiento
Sprint_026,2020-06-28,2020,26,Equipo Datos,49,Creciente,Buen rendimiento
Sprint_026,2020-06-28,2020,26,Equipo Integración,40,Estable,Buen rendimiento
Sprint_027,2020-07-05,2020,27,Equipo Desarrollo,45,Creciente,Buen rendimiento
Sprint_027,2020-07-05,2020,27,Equipo Infraestructura,43,Estable,Buen rendimiento
Sprint_027,2020-07-05,2020,27,Equipo Seguridad,41,Estable,Buen rendimiento
Sprint_027,2020-07-05,2020,27,Equipo Datos,57,Creciente,Buen rendimiento
Sprint_027,2020-07-05,2020,27,Equipo Integración,45,Creciente,Buen rendimiento
Sprint_028,2020-07-12,2020,28,Equipo Desarrollo,41,Estable,Buen rendimiento
Sprint_028,2020-07-12,2020,28,Equipo Infraestructura,53,Creciente,Buen rendimiento
Sprint_028,2020-07-12,2020,28,Equipo Seguridad,43,Estable,Buen rendimiento
Sprint_028,2020-07-12,2020,28,Equipo Datos,24,Decreciente,Posible sobrecarga
Sprint_028,2020-07-12,2020,28,Equipo Integración,43,Estable,Buen rendimiento
Sprint_029,2020-07-19,2020,29,Equipo Desarrollo,55,Creciente,Buen rendimiento
Sprint_029,2020-07-19,2020,29,Equipo Infraestructura,41,Estable,Buen rendimiento
Sprint_029,2020-07-19,2020,29,Equipo Seguridad,53,Creciente,Buen rendimiento
Sprint_029,2020-07-19,2020,29,Equipo Datos,36,Estable,Buen rendimiento
Sprint_029,2020-07-19,2020,29,Equipo Integración,31,Decreciente,Posible sobrecarga
Sprint_030,2020-07-26,2020,30,Equipo Desarrollo,50,Creciente,Buen rendimiento
Sprint_030,2020-07-26,2020,30,Equipo Infraestructura,46,Creciente,Buen rendimiento
Sprint_030,2020-07-26,2020,30,Equipo Seguridad,32,Decreciente,Posible sobrecarga
Sprint_030,2020-07-26,2020,30,Equipo Datos,25,Decreciente,Posible sobrecarga
Sprint_030,2020-07-26,2020,30,Equipo Integración,22,Decreciente,Posible sobrecarga
Sprint_031,2020-08-02,2020,31,Equipo Desarrollo,30,Decreciente,Posible sobrecarga
Sprint_031,2020-08-02,2020,31,Equipo Infraestructura,29,Decreciente,Posible sobrecarga
Sprint_031,2020-08-02,2020,31,Equipo Seguridad,30,Decreciente,Posible sobrecarga
Sprint_031,2020-08-02,2020,31,Equipo Datos,35,Decreciente,Posible sobrecarga
Sprint_031,2020-08-02,2020,31,Equipo Integración,39,Estable,Buen rendimiento
Sprint_032,2020-08-09,2020,32,Equipo Desarrollo,38,Estable,Buen rendimiento
Sprint_032,2020-08-09,2020,32,Equipo Infraestructura,28,Decreciente,Posible sobrecarga
Sprint_032,2020-08-09,2020,32,Equipo Seguridad,56,Creciente,Buen rendimiento
Sprint_032,2020-08-09,2020,32,Equipo Datos,34,Decreciente,Posible sobrecarga
Sprint_032,2020-08-09,2020,32,Equipo Integración,43,Estable,Buen rendimiento
Sprint_033,2020-08-16,2020,33,Equipo Desarrollo,41,Estable,Buen rendimiento
Sprint_033,2020-08-16,2020,33,Equipo Infraestructura,59,Creciente,Buen rendimiento
Sprint_033,2020-08-16,2020,33,Equipo Seguridad,24,Decreciente,Posible sobrecarga
Sprint_033,2020-08-16,2020,33,Equipo Datos,42,Estable,Buen rendimiento
Sprint_033,2020-08-16,2020,33,Equipo Integración,51,Creciente,Buen rendimiento
Sprint_034,2020-08-23,2020,34,Equipo Desarrollo,34,Decreciente,Posible sobrecarga
Sprint_034,2020-08-23,2020,34,Equipo Infraestructura,48,Creciente,Buen rendimiento
Sprint_034,2020-08-23,2020,34,Equipo Seguridad,58,Creciente,Buen rendimiento
Sprint_034,2020-08-23,2020,34,Equipo Datos,34,Decreciente,Posible sobrecarga
Sprint_034,2020-08-23,2020,34,Equipo Integración,38,Estable,Buen rendimiento
Sprint_035,2020-08-30,2020,35,Equipo Desarrollo,55,Creciente,Buen rendimiento
Sprint_035,2020-08-30,2020,35,Equipo Infraestructura,37,Estable,Buen rendimiento
Sprint_035,2020-08-30,2020,35,Equipo Seguridad,29,Decreciente,Posible sobrecarga
Sprint_035,2020-08-30,2020,35,Equipo Datos,34,Decreciente,Posible sobrecarga
Sprint_035,2020-08-30,2020,35,Equipo Integración,44,Estable,Buen rendimiento
Sprint_036,2020-09-06,2020,36,Equipo Desarrollo,40,Estable,Buen rendimiento
Sprint_036,2020-09-06,2020,36,Equipo Infraestructura,57,Creciente,Buen rendimiento
Sprint_036,2020-09-06,2020,36,Equipo Seguridad,30,Decreciente,Posible sobrecarga
Sprint_036,2020-09-06,2020,36,Equipo Datos,28,Decreciente,Posible sobrecarga
