sprint,fecha_sprint,año,semana,equipo,retrospectivas_planificadas,retrospectivas_realizadas,cumplimiento_porcentaje,estado
Sprint_001,2020-01-05,2020,1,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_001,2020-01-05,2020,1,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_001,2020-01-05,2020,1,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_001,2020-01-05,2020,1,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_001,2020-01-05,2020,1,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_002,2020-01-12,2020,2,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_002,2020-01-12,2020,2,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_002,2020-01-12,2020,2,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_002,2020-01-12,2020,2,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_002,2020-01-12,2020,2,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_003,2020-01-19,2020,3,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_003,2020-01-19,2020,3,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_003,2020-01-19,2020,3,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_003,2020-01-19,2020,3,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_003,2020-01-19,2020,3,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_004,2020-01-26,2020,4,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_004,2020-01-26,2020,4,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_004,2020-01-26,2020,4,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_004,2020-01-26,2020,4,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_004,2020-01-26,2020,4,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_005,2020-02-02,2020,5,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_005,2020-02-02,2020,5,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_005,2020-02-02,2020,5,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_005,2020-02-02,2020,5,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_005,2020-02-02,2020,5,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_006,2020-02-09,2020,6,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_006,2020-02-09,2020,6,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_006,2020-02-09,2020,6,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_006,2020-02-09,2020,6,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_006,2020-02-09,2020,6,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_007,2020-02-16,2020,7,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_007,2020-02-16,2020,7,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_007,2020-02-16,2020,7,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_007,2020-02-16,2020,7,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_007,2020-02-16,2020,7,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_008,2020-02-23,2020,8,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_008,2020-02-23,2020,8,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_008,2020-02-23,2020,8,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_008,2020-02-23,2020,8,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_008,2020-02-23,2020,8,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_009,2020-03-01,2020,9,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_009,2020-03-01,2020,9,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_009,2020-03-01,2020,9,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_009,2020-03-01,2020,9,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_009,2020-03-01,2020,9,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_010,2020-03-08,2020,10,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_010,2020-03-08,2020,10,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_010,2020-03-08,2020,10,Equipo Seguridad,1,0,0.0,Requiere acciones
Sprint_010,2020-03-08,2020,10,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_010,2020-03-08,2020,10,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_011,2020-03-15,2020,11,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_011,2020-03-15,2020,11,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_011,2020-03-15,2020,11,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_011,2020-03-15,2020,11,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_011,2020-03-15,2020,11,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_012,2020-03-22,2020,12,Equipo Desarrollo,1,0,0.0,Requiere acciones
Sprint_012,2020-03-22,2020,12,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_012,2020-03-22,2020,12,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_012,2020-03-22,2020,12,Equipo Datos,1,0,0.0,Requiere acciones
Sprint_012,2020-03-22,2020,12,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_013,2020-03-29,2020,13,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_013,2020-03-29,2020,13,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_013,2020-03-29,2020,13,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_013,2020-03-29,2020,13,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_013,2020-03-29,2020,13,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_014,2020-04-05,2020,14,Equipo Desarrollo,1,1,100.0,Cumplimiento total
Sprint_014,2020-04-05,2020,14,Equipo Infraestructura,1,1,100.0,Cumplimiento total
Sprint_014,2020-04-05,2020,14,Equipo Seguridad,1,1,100.0,Cumplimiento total
Sprint_014,2020-04-05,2020,14,Equipo Datos,1,1,100.0,Cumplimiento total
Sprint_014,2020-04-05,2020,14,Equipo Integración,1,1,100.0,Cumplimiento total
Sprint_015,2020-04-12,2020,15,Equipo Desarrollo,1,1,100.0,Cumplimiento total
