fecha,categoria_riesgo,estado,estado_predicho,probabilidad,indice_mitigacion_porcentaje,kpi
2020-01-05,Seguridad,Aceptable,Aceptable,0.9562401960784314,70.37,Índice Riesgo TI
2020-01-05,Disponibilidad,Aceptable,Aceptable,1.0,72.68,Índice Riesgo TI
2020-01-05,Cumplimiento,Riesgo Alto,Riesgo Alto,0.96,60.79,Índice Riesgo TI
2020-01-05,Operacional,Aceptable,Aceptable,0.9512401960784314,71.91,Índice Riesgo TI
2020-01-05,Tecnológico,Aceptable,Aceptable,0.9966666666666666,71.92,Índice Riesgo TI
2020-01-12,Seguridad,Riesgo Alto,Riesgo Alto,0.9663333333333333,60.0,Índice Riesgo TI
2020-01-12,Disponibilidad,Riesgo Alto,Riesgo Alto,0.9913333333333333,60.0,Índice Riesgo TI
2020-01-12,Cumplimiento,Riesgo Alto,Riesgo Alto,0.96,60.0,Índice Riesgo TI
2020-01-12,Operacional,Aceptable,Aceptable,0.9698235294117648,72.35,Índice Riesgo TI
2020-01-12,Tecnológico,Riesgo Alto,Riesgo Alto,0.8413333333333333,69.8,Índice Riesgo TI
2020-01-19,Seguridad,Riesgo Alto,Riesgo Alto,0.9664178082191781,66.74,Índice Riesgo TI
2020-01-19,Disponibilidad,Riesgo Alto,Riesgo Alto,0.9945,66.38,Índice Riesgo TI
2020-01-19,Cumplimiento,Riesgo Alto,Riesgo Alto,0.99,66.03,Índice Riesgo TI
2020-01-19,Operacional,Riesgo Alto,Riesgo Alto,0.9945,65.89,Índice Riesgo TI
2020-01-19,Tecnológico,Riesgo Alto,Riesgo Alto,0.92,60.43,Índice Riesgo TI
2020-01-26,Seguridad,Riesgo Alto,Riesgo Alto,0.9618376623376623,64.26,Índice Riesgo TI
2020-01-26,Disponibilidad,Riesgo Alto,Riesgo Alto,1.0,60.06,Índice Riesgo TI
2020-01-26,Cumplimiento,Riesgo Alto,Riesgo Alto,0.99,62.52,Índice Riesgo TI
2020-01-26,Operacional,Aceptable,Aceptable,0.9630610602449936,70.52,Índice Riesgo TI
2020-01-26,Tecnológico,Riesgo Alto,Riesgo Alto,0.990409090909091,60.0,Índice Riesgo TI
2020-02-02,Seguridad,Riesgo Alto,Riesgo Alto,0.9728376623376623,64.76,Índice Riesgo TI
2020-02-02,Disponibilidad,Riesgo Alto,Riesgo Alto,0.9661666666666666,67.58,Índice Riesgo TI
2020-02-02,Cumplimiento,Riesgo Alto,Riesgo Alto,0.97,60.0,Índice Riesgo TI
2020-02-02,Operacional,Riesgo Alto,Riesgo Alto,0.97125,69.6,Índice Riesgo TI
2020-02-02,Tecnológico,Aceptable,Aceptable,0.9714999999999999,71.49,Índice Riesgo TI
2020-02-09,Seguridad,Riesgo Alto,Riesgo Alto,0.9784090909090909,64.75,Índice Riesgo TI
2020-02-09,Disponibilidad,Riesgo Alto,Riesgo Alto,0.9715803814713897,65.43,Índice Riesgo TI
2020-02-09,Cumplimiento,Riesgo Alto,Riesgo Alto,0.99,66.52,Índice Riesgo TI
2020-02-09,Operacional,Riesgo Alto,Riesgo Alto,0.941845238095238,66.83,Índice Riesgo TI
2020-02-09,Tecnológico,Riesgo Alto,Riesgo Alto,0.8591666666666665,69.84,Índice Riesgo TI
2020-02-16,Seguridad,Riesgo Alto,Riesgo Alto,0.9474180438090519,66.56,Índice Riesgo TI
2020-02-16,Disponibilidad,Riesgo Alto,Riesgo Alto,0.950459349725358,62.09,Índice Riesgo TI
2020-02-16,Cumplimiento,Riesgo Alto,Riesgo Alto,0.9365803814713897,64.32,Índice Riesgo TI
2020-02-16,Operacional,Riesgo Alto,Riesgo Alto,0.9415803814713897,60.0,Índice Riesgo TI
2020-02-16,Tecnológico,Riesgo Alto,Riesgo Alto,0.9664180438090519,67.16,Índice Riesgo TI
2020-02-23,Seguridad,Riesgo Alto,Riesgo Alto,0.9835034583944665,69.07,Índice Riesgo TI
2020-02-23,Disponibilidad,Riesgo Alto,Riesgo Alto,0.995,61.86,Índice Riesgo TI
2020-02-23,Cumplimiento,Riesgo Alto,Riesgo Alto,0.99,62.07,Índice Riesgo TI
2020-02-23,Operacional,Riesgo Alto,Riesgo Alto,0.99125,63.31,Índice Riesgo TI
2020-02-23,Tecnológico,Riesgo Alto,Riesgo Alto,0.973918043809052,60.0,Índice Riesgo TI
2020-03-01,Seguridad,Riesgo Alto,Riesgo Alto,0.9798367917277999,64.62,Índice Riesgo TI
2020-03-01,Disponibilidad,Aceptable,Aceptable,0.995,72.04,Índice Riesgo TI
2020-03-01,Cumplimiento,Riesgo Alto,Riesgo Alto,0.9634593497253578,60.29,Índice Riesgo TI
2020-03-01,Operacional,Riesgo Alto,Riesgo Alto,0.953008952899961,60.0,Índice Riesgo TI
2020-03-01,Tecnológico,Riesgo Alto,Riesgo Alto,0.985909090909091,60.54,Índice Riesgo TI
2020-03-08,Seguridad,Riesgo Alto,Riesgo Alto,0.9005882352941177,66.72,Índice Riesgo TI
2020-03-08,Disponibilidad,Riesgo Alto,Riesgo Alto,0.975,68.9,Índice Riesgo TI
2020-03-08,Cumplimiento,Aceptable,Aceptable,1.0,73.99,Índice Riesgo TI
2020-03-08,Operacional,Aceptable,Aceptable,0.9951136363636363,74.04,Índice Riesgo TI
2020-03-08,Tecnológico,Riesgo Alto,Riesgo Alto,0.9634981896905677,66.23,Índice Riesgo TI
2020-03-15,Seguridad,Aceptable,Aceptable,0.978680023546478,73.91,Índice Riesgo TI
2020-03-15,Disponibilidad,Riesgo Alto,Riesgo Alto,0.995,63.9,Índice Riesgo TI
2020-03-15,Cumplimiento,Riesgo Alto,Riesgo Alto,0.9662470481380565,67.52,Índice Riesgo TI
2020-03-15,Operacional,Riesgo Alto,Riesgo Alto,0.9448863636363637,68.48,Índice Riesgo TI
2020-03-15,Tecnológico,Aceptable,Aceptable,0.9882352941176471,70.56,Índice Riesgo TI
2020-03-22,Seguridad,Riesgo Alto,Riesgo Alto,0.9769796488706571,64.97,Índice Riesgo TI
2020-03-22,Disponibilidad,Riesgo Alto,Riesgo Alto,0.9625612427154089,68.29,Índice Riesgo TI
2020-03-22,Cumplimiento,Riesgo Alto,Riesgo Alto,0.9561676830586912,66.4,Índice Riesgo TI
2020-03-22,Operacional,Riesgo Alto,Riesgo Alto,0.95125,60.0,Índice Riesgo TI
2020-03-22,Tecnológico,Riesgo Alto,Riesgo Alto,0.9669796488706571,62.86,Índice Riesgo TI
2020-03-29,Seguridad,Riesgo Alto,Riesgo Alto,0.9769796488706571,67.41,Índice Riesgo TI
2020-03-29,Disponibilidad,Riesgo Alto,Riesgo Alto,0.9724350823260904,68.16,Índice Riesgo TI
2020-03-29,Cumplimiento,Riesgo Alto,Riesgo Alto,0.9845803814713896,62.57,Índice Riesgo TI
2020-03-29,Operacional,Aceptable,Aceptable,0.9912132693222613,72.75,Índice Riesgo TI
2020-03-29,Tecnológico,Riesgo Alto,Riesgo Alto,0.9846323295233377,61.63,Índice Riesgo TI
2020-04-05,Seguridad,Aceptable,Aceptable,0.9602038330702876,71.13,Índice Riesgo TI
