fecha,tipo_proyecto,estado,estado_predicho,probabilidad,cobertura_porcentaje,kpi
2020-01-08,NLP,Alta representatividad,Alta representatividad,0.92,90.89787296334003,Cobertura Datos
2020-01-08,NLP,Aceptable,Aceptable,1.0,80.53725241078953,Cobertura Datos
2020-01-06,Clasificación,Aceptable,Aceptable,1.0,82.63020680001944,Cobertura Datos
2020-01-05,Clasificación,Aceptable,Aceptable,1.0,70.7195384265455,Cobertura Datos
2020-01-10,Visión,Aceptable,Aceptable,0.976,80.43431182992967,Cobertura Datos
2020-01-13,Regresión,Aceptable,Aceptable,1.0,74.35143260456215,Cobertura Datos
2020-01-17,NLP,Aceptable,Aceptable,1.0,77.17972610770333,Cobertura Datos
2020-01-16,Optimización,Aceptable,Aceptable,1.0,76.55562696585521,Cobertura Datos
2020-01-14,Optimización,Aceptable,Aceptable,1.0,71.19654063708644,Cobertura Datos
2020-01-14,NLP,Aceptable,Aceptable,0.99,81.97285817643805,Cobertura Datos
2020-01-22,Optimización,Aceptable,Aceptable,0.99,83.5874027413771,Cobertura Datos
2020-01-23,Regresión,Aceptable,Aceptable,1.0,84.84762834571423,Cobertura Datos
2020-01-21,Clustering,Aceptable,Aceptable,1.0,82.01771403280122,Cobertura Datos
2020-01-21,Visión,Alta representatividad,Alta representatividad,0.9840000000000001,92.6076992444439,Cobertura Datos
2020-01-23,Visión,Aceptable,Aceptable,1.0,70.9796733728247,Cobertura Datos
2020-01-30,Clasificación,Aceptable,Aceptable,1.0,85.95902375062477,Cobertura Datos
2020-01-28,Clasificación,Alta representatividad,Alta representatividad,1.0,92.51942367064736,Cobertura Datos
2020-01-30,Optimización,Aceptable,Aceptable,1.0,71.06704626372137,Cobertura Datos
2020-01-26,Detección de Anomalías,Aceptable,Aceptable,1.0,82.90398198503021,Cobertura Datos
2020-01-30,Análisis Predictivo,Aceptable,Aceptable,1.0,85.31470701492935,Cobertura Datos
2020-02-03,Análisis Predictivo,Aceptable,Aceptable,1.0,74.96354948899362,Cobertura Datos
2020-02-03,Optimización,Aceptable,Aceptable,1.0,76.56500282962938,Cobertura Datos
2020-02-04,Optimización,Alta representatividad,Alta representatividad,1.0,90.42542677612715,Cobertura Datos
2020-02-04,Clasificación,Aceptable,Aceptable,1.0,84.75234232444753,Cobertura Datos
2020-02-05,NLP,Aceptable,Aceptable,1.0,78.21024612829363,Cobertura Datos
2020-02-13,Clasificación,Aceptable,Aceptable,0.98,89.88363577920903,Cobertura Datos
2020-02-10,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,89.41460492931039,Cobertura Datos
2020-02-12,Clasificación,Aceptable,Aceptable,1.0,78.98044641801812,Cobertura Datos
2020-02-11,Análisis Predictivo,Aceptable,Aceptable,1.0,82.70483839168112,Cobertura Datos
2020-02-14,NLP,Aceptable,Aceptable,1.0,87.27749227197752,Cobertura Datos
2020-02-21,Análisis Predictivo,Aceptable,Aceptable,1.0,78.9244796649324,Cobertura Datos
2020-02-16,Clasificación,Aceptable,Aceptable,0.99,86.3542446860306,Cobertura Datos
2020-02-20,Análisis Predictivo,Aceptable,Aceptable,1.0,76.52791699902609,Cobertura Datos
2020-02-19,Clustering,Aceptable,Aceptable,0.99,77.59254151469473,Cobertura Datos
2020-02-16,Análisis Predictivo,Aceptable,Aceptable,1.0,78.07748872773553,Cobertura Datos
2020-02-28,Análisis Predictivo,Alta representatividad,Alta representatividad,1.0,94.33742403080336,Cobertura Datos
2020-02-25,Visión,Alta representatividad,Alta representatividad,1.0,91.67547569479888,Cobertura Datos
2020-02-24,Análisis Predictivo,Aceptable,Aceptable,1.0,84.69431536531836,Cobertura Datos
2020-02-26,Regresión,Aceptable,Aceptable,1.0,84.66067744470001,Cobertura Datos
2020-02-26,Optimización,Aceptable,Aceptable,1.0,71.4598095734337,Cobertura Datos
2020-03-03,NLP,Aceptable,Aceptable,1.0,86.8872096450333,Cobertura Datos
2020-03-03,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,78.53111629053446,Cobertura Datos
2020-03-02,Regresión,Aceptable,Aceptable,1.0,85.91978341538207,Cobertura Datos
2020-03-02,NLP,Alta representatividad,Alta representatividad,0.99,91.84607744205216,Cobertura Datos
2020-03-02,Detección de Anomalías,Aceptable,Aceptable,1.0,71.1829559523596,Cobertura Datos
2020-03-08,Regresión,Aceptable,Aceptable,0.99,85.7836510886842,Cobertura Datos
2020-03-08,Visión,Aceptable,Aceptable,1.0,84.66921597873583,Cobertura Datos
2020-03-10,Regresión,Aceptable,Aceptable,1.0,75.37593043596527,Cobertura Datos
2020-03-11,Detección de Anomalías,Aceptable,Aceptable,1.0,86.80725667308164,Cobertura Datos
2020-03-08,Optimización,Aceptable,Aceptable,1.0,84.42571608257757,Cobertura Datos
2020-03-17,NLP,Aceptable,Aceptable,1.0,89.95032322458026,Cobertura Datos
2020-03-20,Clasificación,Aceptable,Aceptable,1.0,72.87608277188308,Cobertura Datos
2020-03-20,Regresión,Aceptable,Aceptable,1.0,81.53379119630453,Cobertura Datos
2020-03-15,NLP,Alta representatividad,Alta representatividad,1.0,95.94625627797248,Cobertura Datos
2020-03-16,NLP,Aceptable,Aceptable,1.0,87.92130205331623,Cobertura Datos
2020-03-27,Optimización,Aceptable,Aceptable,1.0,87.7917537885487,Cobertura Datos
2020-03-24,Clasificación,Aceptable,Aceptable,1.0,78.26464860916091,Cobertura Datos
2020-03-27,NLP,Aceptable,Aceptable,1.0,72.44109070975075,Cobertura Datos
2020-03-23,Detección de Anomalías,Alta representatividad,Alta representatividad,0.994074074074074,94.68685375613651,Cobertura Datos
2020-03-26,Regresión,Aceptable,Aceptable,1.0,72.74225647718343,Cobertura Datos
2020-04-03,Clasificación,Alta representatividad,Alta representatividad,0.94,95.8103640757126,Cobertura Datos
2020-04-01,Optimización,Aceptable,Aceptable,1.0,73.27030528297033,Cobertura Datos
2020-03-30,NLP,Aceptable,Aceptable,1.0,74.44359106167411,Cobertura Datos
2020-04-01,Visión,Aceptable,Aceptable,1.0,78.01754083130083,Cobertura Datos
2020-03-31,Clasificación,Aceptable,Aceptable,1.0,83.32175503072799,Cobertura Datos
2020-04-09,Visión,Alta representatividad,Alta representatividad,1.0,90.55044295487993,Cobertura Datos
2020-04-08,Visión,Alta representatividad,Alta representatividad,0.99,95.2462158503058,Cobertura Datos
2020-04-10,Detección de Anomalías,Aceptable,Aceptable,0.995925925925926,79.32944690489325,Cobertura Datos
2020-04-05,Clasificación,Aceptable,Aceptable,1.0,70.53074042385413,Cobertura Datos
2020-04-10,Análisis Predictivo,Aceptable,Aceptable,1.0,86.03366759789088,Cobertura Datos
2020-04-17,Regresión,Aceptable,Aceptable,1.0,88.48053639246801,Cobertura Datos
2020-04-14,Optimización,Aceptable,Aceptable,1.0,80.33354960392732,Cobertura Datos
2020-04-16,Clustering,Aceptable,Aceptable,1.0,74.770377273387,Cobertura Datos
2020-04-12,Visión,Aceptable,Aceptable,1.0,77.95640546318896,Cobertura Datos
2020-04-12,Optimización,Aceptable,Aceptable,1.0,87.05079244231774,Cobertura Datos
2020-04-24,Visión,Aceptable,Aceptable,1.0,82.84875461396717,Cobertura Datos
2020-04-23,Regresión,Aceptable,Aceptable,1.0,89.3290247449586,Cobertura Datos
2020-04-20,Regresión,Aceptable,Aceptable,1.0,75.67242635760617,Cobertura Datos
2020-04-23,Análisis Predictivo,Alta representatividad,Alta representatividad,1.0,91.8916260758966,Cobertura Datos
2020-04-23,Análisis Predictivo,Aceptable,Aceptable,1.0,74.05300787311482,Cobertura Datos
2020-04-30,Optimización,Aceptable,Aceptable,1.0,78.57780115172353,Cobertura Datos
2020-04-29,Clustering,Aceptable,Aceptable,1.0,85.37139837623575,Cobertura Datos
2020-04-27,Clasificación,Aceptable,Aceptable,1.0,89.1584429829642,Cobertura Datos
2020-04-28,Clustering,Aceptable,Aceptable,1.0,76.92071825130459,Cobertura Datos
2020-04-26,Regresión,Alta representatividad,Alta representatividad,1.0,94.65111312252786,Cobertura Datos
