fecha,equipo,rendimiento,rendimiento_predicho,probabilidad,velocidad_puntos_historia,kpi
2020-01-05,Equipo Desarrollo,Alto,Alto,0.8021904761904761,54,Rendimiento Equipo
2020-01-05,Equipo Infraestructura,Normal,Alto,0.7328333333333333,52,Rendimiento Equipo
2020-01-05,Equipo Seguridad,Normal,Normal,0.8345079365079365,36,Rendimiento Equipo
2020-01-05,Equipo Datos,Bajo,Bajo,0.6833571428571429,24,Rendimiento Equipo
2020-01-05,Equipo Integración,Alto,Normal,0.8990738095238094,54,Rendimiento Equipo
2020-01-12,Equipo Desarrollo,Normal,Alto,0.7721904761904761,38,Rendimiento Equipo
2020-01-12,Equipo Infraestructura,Alto,Alto,0.7378333333333333,53,Rendimiento Equipo
2020-01-12,Equipo Seguridad,Normal,Normal,0.84784126984127,51,Rendimiento Equipo
2020-01-12,Equipo Datos,Normal,Bajo,0.6533571428571429,44,Rendimiento Equipo
2020-01-12,Equipo Integración,Normal,Normal,0.9210738095238095,41,Rendimiento Equipo
2020-01-19,Equipo Desarrollo,Alto,Alto,0.7121904761904762,58,Rendimiento Equipo
2020-01-19,Equipo Infraestructura,Normal,Alto,0.5650000000000001,46,Rendimiento Equipo
2020-01-19,Equipo Seguridad,Normal,Normal,0.5838412698412698,52,Rendimiento Equipo
2020-01-19,Equipo Datos,Bajo,Bajo,0.8108571428571429,27,Rendimiento Equipo
2020-01-19,Equipo Integración,Normal,Normal,0.8798564182194617,49,Rendimiento Equipo
2020-01-26,Equipo Desarrollo,Normal,Normal,0.5825848165184836,45,Rendimiento Equipo
2020-01-26,Equipo Infraestructura,Bajo,Bajo,0.7907772854722386,34,Rendimiento Equipo
2020-01-26,Equipo Seguridad,Alto,Alto,0.7657047879260993,55,Rendimiento Equipo
2020-01-26,Equipo Datos,Bajo,Bajo,0.8841904761904762,31,Rendimiento Equipo
2020-01-26,Equipo Integración,Bajo,Normal,0.6672368699860237,31,Rendimiento Equipo
2020-02-02,Equipo Desarrollo,Bajo,Bajo,0.663090808892123,23,Rendimiento Equipo
2020-02-02,Equipo Infraestructura,Bajo,Bajo,0.8659439521389051,22,Rendimiento Equipo
2020-02-02,Equipo Seguridad,Alto,Alto,0.7051492323705437,56,Rendimiento Equipo
2020-02-02,Equipo Datos,Alto,Alto,0.5549523809523809,57,Rendimiento Equipo
2020-02-02,Equipo Integración,Normal,Normal,0.7117646477638014,51,Rendimiento Equipo
2020-02-09,Equipo Desarrollo,Normal,Bajo,0.8281776436260163,45,Rendimiento Equipo
2020-02-09,Equipo Infraestructura,Bajo,Bajo,0.9232331678251796,23,Rendimiento Equipo
2020-02-09,Equipo Seguridad,Bajo,Bajo,0.669075385345395,20,Rendimiento Equipo
2020-02-09,Equipo Datos,Bajo,Bajo,0.6700476190476191,24,Rendimiento Equipo
2020-02-09,Equipo Integración,Bajo,Bajo,0.6211124581899844,21,Rendimiento Equipo
2020-02-16,Equipo Desarrollo,Bajo,Bajo,0.8379229212242352,30,Rendimiento Equipo
2020-02-16,Equipo Infraestructura,Bajo,Bajo,0.8365472284921814,28,Rendimiento Equipo
2020-02-16,Equipo Seguridad,Bajo,Bajo,0.7715322014051522,27,Rendimiento Equipo
2020-02-16,Equipo Datos,Alto,Alto,0.6139107142857142,58,Rendimiento Equipo
2020-02-16,Equipo Integración,Bajo,Bajo,0.699833926264394,34,Rendimiento Equipo
2020-02-23,Equipo Desarrollo,Bajo,Bajo,0.7284110164623303,28,Rendimiento Equipo
2020-02-23,Equipo Infraestructura,Normal,Normal,0.6322331482622324,49,Rendimiento Equipo
2020-02-23,Equipo Seguridad,Normal,Normal,0.5534646701204079,48,Rendimiento Equipo
2020-02-23,Equipo Datos,Normal,Normal,0.5124019151138717,44,Rendimiento Equipo
2020-02-23,Equipo Integración,Normal,Normal,0.5619715766616239,41,Rendimiento Equipo
2020-03-01,Equipo Desarrollo,Alto,Alto,0.46427248203750077,53,Rendimiento Equipo
2020-03-01,Equipo Infraestructura,Normal,Normal,0.695989328485518,41,Rendimiento Equipo
2020-03-01,Equipo Seguridad,Normal,Normal,0.7897608461665838,49,Rendimiento Equipo
2020-03-01,Equipo Datos,Bajo,Bajo,0.5467180814354728,29,Rendimiento Equipo
2020-03-01,Equipo Integración,Bajo,Bajo,0.5851393541698215,24,Rendimiento Equipo
2020-03-08,Equipo Desarrollo,Bajo,Bajo,0.5263899541912683,24,Rendimiento Equipo
2020-03-08,Equipo Infraestructura,Bajo,Normal,0.6317389820577521,21,Rendimiento Equipo
2020-03-08,Equipo Seguridad,Normal,Normal,0.7590565338411182,49,Rendimiento Equipo
2020-03-08,Equipo Datos,Normal,Normal,0.5968860420979984,41,Rendimiento Equipo
2020-03-08,Equipo Integración,Bajo,Bajo,0.6086407354439938,32,Rendimiento Equipo
2020-03-15,Equipo Desarrollo,Alto,Alto,0.5207169264819451,58,Rendimiento Equipo
2020-03-15,Equipo Infraestructura,Normal,Normal,0.5553753456941157,44,Rendimiento Equipo
2020-03-15,Equipo Seguridad,Normal,Normal,0.6870565338411179,46,Rendimiento Equipo
2020-03-15,Equipo Datos,Normal,Normal,0.7156955659075226,46,Rendimiento Equipo
2020-03-15,Equipo Integración,Normal,Normal,0.5586919164550703,40,Rendimiento Equipo
2020-03-22,Equipo Desarrollo,Normal,Normal,0.4887257311593982,50,Rendimiento Equipo
2020-03-22,Equipo Infraestructura,Bajo,Bajo,0.622517007542431,34,Rendimiento Equipo
2020-03-22,Equipo Seguridad,Alto,Alto,0.4778461792099708,57,Rendimiento Equipo
2020-03-22,Equipo Datos,Alto,Alto,0.4718940449646971,58,Rendimiento Equipo
2020-03-22,Equipo Integración,Alto,Alto,0.5256304119188382,55,Rendimiento Equipo
2020-03-29,Equipo Desarrollo,Alto,Normal,0.4318368422705092,55,Rendimiento Equipo
2020-03-29,Equipo Infraestructura,Bajo,Bajo,0.6751176144518612,20,Rendimiento Equipo
2020-03-29,Equipo Seguridad,Bajo,Bajo,0.5297249925766168,30,Rendimiento Equipo
2020-03-29,Equipo Datos,Bajo,Bajo,0.6210056272230186,24,Rendimiento Equipo
2020-03-29,Equipo Integración,Alto,Alto,0.5222970785855049,53,Rendimiento Equipo
2020-04-05,Equipo Desarrollo,Alto,Alto,0.5250527850678037,56,Rendimiento Equipo
2020-04-05,Equipo Infraestructura,Bajo,Bajo,0.6783662917005385,24,Rendimiento Equipo
2020-04-05,Equipo Seguridad,Normal,Bajo,0.5363361036877279,39,Rendimiento Equipo
2020-04-05,Equipo Datos,Bajo,Bajo,0.7015373732547644,32,Rendimiento Equipo
2020-04-05,Equipo Integración,Bajo,Bajo,0.5844900814385012,28,Rendimiento Equipo
2020-04-12,Equipo Desarrollo,Bajo,Bajo,0.4444096004609147,24,Rendimiento Equipo
2020-04-12,Equipo Infraestructura,Alto,Alto,0.38923566341584,57,Rendimiento Equipo
2020-04-12,Equipo Seguridad,Normal,Normal,0.5582192800992652,51,Rendimiento Equipo
2020-04-12,Equipo Datos,Normal,Bajo,0.5894540399214313,49,Rendimiento Equipo
2020-04-12,Equipo Integración,Normal,Normal,0.45066564410038795,47,Rendimiento Equipo
2020-04-19,Equipo Desarrollo,Alto,Alto,0.4435051874702062,56,Rendimiento Equipo
2020-04-19,Equipo Infraestructura,Normal,Normal,0.4291717682600386,47,Rendimiento Equipo
2020-04-19,Equipo Seguridad,Bajo,Bajo,0.474713241222785,25,Rendimiento Equipo
2020-04-19,Equipo Datos,Normal,Normal,0.5705850383631713,48,Rendimiento Equipo
