fecha,equipo,estado,estado_predicho,probabilidad,cumplimiento_porcentaje,kpi
2020-01-05,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-05,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-05,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-05,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-05,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-12,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-12,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-12,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-12,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-12,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-19,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-19,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-19,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-19,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-19,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-26,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-26,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-26,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-26,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-01-26,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-02,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-02,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-02,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-02,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-02,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-09,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-09,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,0.99,100.0,Cumplimiento Retrospectivas
2020-02-09,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-09,Equipo Datos,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-09,Equipo Integración,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-16,Equipo Desarrollo,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-16,Equipo Infraestructura,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
2020-02-16,Equipo Seguridad,Cumplimiento total,Cumplimiento total,1.0,100.0,Cumplimiento Retrospectivas
