fecha,kpi,tipo,valor
2020-01-05,Cumplimiento Plan Gobierno TI,Historico,64.51599999999999
2020-01-12,Cumplimiento Plan Gobierno TI,Historico,64.0425
2020-01-19,Cumplimiento Plan Gobierno TI,Historico,64.02
2020-01-26,Cumplimiento Plan Gobierno TI,Historico,63.39
2020-02-02,Cumplimiento Plan Gobierno TI,Historico,66.82666666666667
2020-02-09,Cumplimiento Plan Gobierno TI,Historico,68.03000000000002
2020-02-16,Cumplimiento Plan Gobierno TI,Historico,67.5925
2020-02-23,Cumplimiento Plan Gobierno TI,Historico,65.6825
2020-03-01,Cumplimiento Plan Gobierno TI,Historico,64.03666666666668
2020-03-08,Cumplimiento Plan Gobierno TI,Historico,68.45
2020-03-15,Cumplimiento Plan Gobierno TI,Historico,65.8
2020-03-22,Cumplimiento Plan Gobierno TI,Historico,68.774
2020-03-29,Cumplimiento Plan Gobierno TI,Historico,66.20500000000001
2020-04-05,Cumplimiento Plan Gobierno TI,Historico,64.735
2020-04-12,Cumplimiento Plan Gobierno TI,Historico,65.226
2020-04-19,Cumplimiento Plan Gobierno TI,Historico,64.72
2020-04-26,Cumplimiento Plan Gobierno TI,Historico,66.876
2020-05-03,Cumplimiento Plan Gobierno TI,Historico,65.79
2020-05-10,Cumplimiento Plan Gobierno TI,Historico,66.88199999999999
2020-05-17,Cumplimiento Plan Gobierno TI,Historico,64.58333333333333
2020-05-24,Cumplimiento Plan Gobierno TI,Historico,65.3
2020-05-31,Cumplimiento Plan Gobierno TI,Historico,67.64999999999999
2020-06-07,Cumplimiento Plan Gobierno TI,Historico,68.885
2020-06-14,Cumplimiento Plan Gobierno TI,Historico,67.462
2020-06-21,Cumplimiento Plan Gobierno TI,Historico,69.42
2020-06-28,Cumplimiento Plan Gobierno TI,Historico,67.956
2020-07-05,Cumplimiento Plan Gobierno TI,Historico,68.36
2020-07-12,Cumplimiento Plan Gobierno TI,Historico,68.21799999999999
2020-07-19,Cumplimiento Plan Gobierno TI,Historico,69.44666666666667
2020-07-26,Cumplimiento Plan Gobierno TI,Historico,66.4125
2020-08-02,Cumplimiento Plan Gobierno TI,Historico,67.17666666666666
2020-08-09,Cumplimiento Plan Gobierno TI,Historico,67.72500000000001
2020-08-16,Cumplimiento Plan Gobierno TI,Historico,69.86
2020-08-23,Cumplimiento Plan Gobierno TI,Historico,68.32333333333334
2020-08-30,Cumplimiento Plan Gobierno TI,Historico,66.29666666666667
2020-09-06,Cumplimiento Plan Gobierno TI,Historico,68.625
2020-09-13,Cumplimiento Plan Gobierno TI,Historico,71.15599999999999
2020-09-20,Cumplimiento Plan Gobierno TI,Historico,68.34333333333333
2020-09-27,Cumplimiento Plan Gobierno TI,Historico,68.02799999999999
2020-10-04,Cumplimiento Plan Gobierno TI,Historico,70.85
2020-10-11,Cumplimiento Plan Gobierno TI,Historico,67.81
2020-10-18,Cumplimiento Plan Gobierno TI,Historico,71.604
2020-10-25,Cumplimiento Plan Gobierno TI,Historico,70.91333333333334
2020-11-01,Cumplimiento Plan Gobierno TI,Historico,70.68333333333334
2020-11-08,Cumplimiento Plan Gobierno TI,Historico,70.518
2020-11-15,Cumplimiento Plan Gobierno TI,Historico,68.94333333333333
2020-11-22,Cumplimiento Plan Gobierno TI,Historico,70.38
2020-11-29,Cumplimiento Plan Gobierno TI,Historico,70.44800000000001
2020-12-06,Cumplimiento Plan Gobierno TI,Historico,69.68333333333334
2020-12-13,Cumplimiento Plan Gobierno TI,Historico,71.256
2020-12-20,Cumplimiento Plan Gobierno TI,Historico,69.975
2020-12-27,Cumplimiento Plan Gobierno TI,Historico,73.62
2021-01-03,Cumplimiento Plan Gobierno TI,Historico,72.74666666666667
2021-01-10,Cumplimiento Plan Gobierno TI,Historico,72.7425
2021-01-17,Cumplimiento Plan Gobierno TI,Historico,69.08999999999999
2021-01-24,Cumplimiento Plan Gobierno TI,Historico,72.18333333333332
2021-01-31,Cumplimiento Plan Gobierno TI,Historico,72.445
2021-02-07,Cumplimiento Plan Gobierno TI,Historico,72.55
2021-02-14,Cumplimiento Plan Gobierno TI,Historico,72.52000000000001
2021-02-21,Cumplimiento Plan Gobierno TI,Historico,73.668
2021-02-28,Cumplimiento Plan Gobierno TI,Historico,73.53333333333335
2021-03-07,Cumplimiento Plan Gobierno TI,Historico,71.45
2021-03-14,Cumplimiento Plan Gobierno TI,Historico,72.096
2021-03-21,Cumplimiento Plan Gobierno TI,Historico,71.13666666666667
2021-03-28,Cumplimiento Plan Gobierno TI,Historico,70.64666666666666
2021-04-04,Cumplimiento Plan Gobierno TI,Historico,71.786
2021-04-11,Cumplimiento Plan Gobierno TI,Historico,75.8925
2021-04-18,Cumplimiento Plan Gobierno TI,Historico,75.515
2021-04-25,Cumplimiento Plan Gobierno TI,Historico,74.44
2021-05-02,Cumplimiento Plan Gobierno TI,Historico,74.306
2021-05-09,Cumplimiento Plan Gobierno TI,Historico,71.60600000000001
2021-05-16,Cumplimiento Plan Gobierno TI,Historico,74.515
2021-05-23,Cumplimiento Plan Gobierno TI,Historico,74.838
2021-05-30,Cumplimiento Plan Gobierno TI,Historico,72.89
2021-06-06,Cumplimiento Plan Gobierno TI,Historico,72.92999999999999
2021-06-13,Cumplimiento Plan Gobierno TI,Historico,76.88333333333334
2021-06-20,Cumplimiento Plan Gobierno TI,Historico,75.274
2021-06-27,Cumplimiento Plan Gobierno TI,Historico,73.452
2021-07-04,Cumplimiento Plan Gobierno TI,Historico,74.234
2021-07-11,Cumplimiento Plan Gobierno TI,Historico,73.384
2021-07-18,Cumplimiento Plan Gobierno TI,Historico,77.03
2021-07-25,Cumplimiento Plan Gobierno TI,Historico,73.64
2021-08-01,Cumplimiento Plan Gobierno TI,Historico,72.546
2021-08-08,Cumplimiento Plan Gobierno TI,Historico,76.80333333333333
2021-08-15,Cumplimiento Plan Gobierno TI,Historico,75.31800000000001
2021-08-22,Cumplimiento Plan Gobierno TI,Historico,78.0625
2021-08-29,Cumplimiento Plan Gobierno TI,Historico,73.27000000000001
2021-09-05,Cumplimiento Plan Gobierno TI,Historico,74.45666666666666
2021-09-12,Cumplimiento Plan Gobierno TI,Historico,76.82666666666667
2021-09-19,Cumplimiento Plan Gobierno TI,Historico,76.2175
2021-09-26,Cumplimiento Plan Gobierno TI,Historico,72.39333333333333
2021-10-03,Cumplimiento Plan Gobierno TI,Historico,76.83
2021-10-10,Cumplimiento Plan Gobierno TI,Historico,75.40333333333334
2021-10-17,Cumplimiento Plan Gobierno TI,Historico,74.9625
