fecha,dias_desde_inicio,mes,trimestre,año,prediccion_cumplimiento,kpi,tipo
2025-01-05,1827,1,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-01-12,1834,1,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-01-19,1841,1,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-01-26,1848,1,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-02-02,1855,2,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-02-09,1862,2,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-02-16,1869,2,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-02-23,1876,2,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-03-02,1883,3,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-03-09,1890,3,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-03-16,1897,3,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
2025-03-23,1904,3,1,2025,89.48580500000001,Cumplimiento Plan Gobierno TI,Prediccion
