fecha,kpi,tipo,valor
2020-01-05,Tiempo Respuesta Análisis,Historico,72.44800000000001
2020-01-12,Tiempo Respuesta Análisis,Historico,71.482
2020-01-19,Tiempo Respuesta Análisis,Historico,71.59
2020-01-26,Tiempo Respuesta Análisis,Historico,72.064
2020-02-02,Tiempo Respuesta Análisis,Historico,70.842
2020-02-09,Tiempo Respuesta Análisis,Historico,72.24199999999999
2020-02-16,Tiempo Respuesta Análisis,Historico,70.126
2020-02-23,Tiempo Respuesta Análisis,Historico,70.286
2020-03-01,Tiempo Respuesta Análisis,Historico,70.512
2020-03-08,Tiempo Respuesta Análisis,Historico,70.652
2020-03-15,Tiempo Respuesta Análisis,Historico,70.45
2020-03-22,Tiempo Respuesta Análisis,Historico,70.71000000000001
2020-03-29,Tiempo Respuesta Análisis,Historico,70.43
2020-04-05,Tiempo Respuesta Análisis,Historico,67.686
2020-04-12,Tiempo Respuesta Análisis,Historico,69.91
2020-04-19,Tiempo Respuesta Análisis,Historico,68.146
2020-04-26,Tiempo Respuesta Análisis,Historico,69.768
2020-05-03,Tiempo Respuesta Análisis,Historico,68.596
2020-05-10,Tiempo Respuesta Análisis,Historico,68.31
2020-05-17,Tiempo Respuesta Análisis,Historico,65.97200000000001
2020-05-24,Tiempo Respuesta Análisis,Historico,67.424
2020-05-31,Tiempo Respuesta Análisis,Historico,64.342
2020-06-07,Tiempo Respuesta Análisis,Historico,65.96600000000001
2020-06-14,Tiempo Respuesta Análisis,Historico,64.99
2020-06-21,Tiempo Respuesta Análisis,Historico,64.064
2020-06-28,Tiempo Respuesta Análisis,Historico,65.71000000000001
2020-07-05,Tiempo Respuesta Análisis,Historico,67.054
2020-07-12,Tiempo Respuesta Análisis,Historico,65.762
2020-07-19,Tiempo Respuesta Análisis,Historico,66.47200000000001
2020-07-26,Tiempo Respuesta Análisis,Historico,66.19200000000001
2020-08-02,Tiempo Respuesta Análisis,Historico,64.378
2020-08-09,Tiempo Respuesta Análisis,Historico,63.779999999999994
2020-08-16,Tiempo Respuesta Análisis,Historico,61.220000000000006
2020-08-23,Tiempo Respuesta Análisis,Historico,64.378
2020-08-30,Tiempo Respuesta Análisis,Historico,62.806
2020-09-06,Tiempo Respuesta Análisis,Historico,64.888
2020-09-13,Tiempo Respuesta Análisis,Historico,64.39000000000001
2020-09-20,Tiempo Respuesta Análisis,Historico,63.715999999999994
2020-09-27,Tiempo Respuesta Análisis,Historico,60.722
2020-10-04,Tiempo Respuesta Análisis,Historico,60.120000000000005
2020-10-11,Tiempo Respuesta Análisis,Historico,62.762
2020-10-18,Tiempo Respuesta Análisis,Historico,59.815999999999995
2020-10-25,Tiempo Respuesta Análisis,Historico,62.327999999999996
2020-11-01,Tiempo Respuesta Análisis,Historico,58.910000000000004
2020-11-08,Tiempo Respuesta Análisis,Historico,63.206
2020-11-15,Tiempo Respuesta Análisis,Historico,60.324
2020-11-22,Tiempo Respuesta Análisis,Historico,63.17999999999999
2020-11-29,Tiempo Respuesta Análisis,Historico,60.038
2020-12-06,Tiempo Respuesta Análisis,Historico,60.152
2020-12-13,Tiempo Respuesta Análisis,Historico,63.238
2020-12-20,Tiempo Respuesta Análisis,Historico,60.282
2020-12-27,Tiempo Respuesta Análisis,Historico,60.088
2021-01-03,Tiempo Respuesta Análisis,Historico,57.048
2021-01-10,Tiempo Respuesta Análisis,Historico,58.565999999999995
2021-01-17,Tiempo Respuesta Análisis,Historico,59.779999999999994
2021-01-24,Tiempo Respuesta Análisis,Historico,59.041999999999994
2021-01-31,Tiempo Respuesta Análisis,Historico,59.74400000000001
2021-02-07,Tiempo Respuesta Análisis,Historico,58.484
2021-02-14,Tiempo Respuesta Análisis,Historico,60.010000000000005
2021-02-21,Tiempo Respuesta Análisis,Historico,60.605999999999995
2021-02-28,Tiempo Respuesta Análisis,Historico,55.891999999999996
2021-03-07,Tiempo Respuesta Análisis,Historico,58.944
2021-03-14,Tiempo Respuesta Análisis,Historico,56.45
2021-03-21,Tiempo Respuesta Análisis,Historico,57.234
2021-03-28,Tiempo Respuesta Análisis,Historico,57.196000000000005
2021-04-04,Tiempo Respuesta Análisis,Historico,56.40599999999999
2021-04-11,Tiempo Respuesta Análisis,Historico,54.48
2021-04-18,Tiempo Respuesta Análisis,Historico,54.352
2021-04-25,Tiempo Respuesta Análisis,Historico,55.272000000000006
2021-05-02,Tiempo Respuesta Análisis,Historico,56.048
2021-05-09,Tiempo Respuesta Análisis,Historico,57.164
2021-05-16,Tiempo Respuesta Análisis,Historico,53.31
2021-05-23,Tiempo Respuesta Análisis,Historico,55.739999999999995
2021-05-30,Tiempo Respuesta Análisis,Historico,53.715999999999994
2021-06-06,Tiempo Respuesta Análisis,Historico,53.98
2021-06-13,Tiempo Respuesta Análisis,Historico,53.39
2021-06-20,Tiempo Respuesta Análisis,Historico,51.838
2021-06-27,Tiempo Respuesta Análisis,Historico,55.15
2021-07-04,Tiempo Respuesta Análisis,Historico,55.556
2021-07-11,Tiempo Respuesta Análisis,Historico,51.318000000000005
2021-07-18,Tiempo Respuesta Análisis,Historico,50.934000000000005
2021-07-25,Tiempo Respuesta Análisis,Historico,50.486000000000004
