fecha,kpi,tipo,valor
2020-01-01,Disponibilidad Servicios,Historico,98.9027
2020-01-02,Disponibilidad Servicios,Historico,99.5222
2020-01-03,Disponibilidad Servicios,Historico,99.7202
2020-01-04,Disponibilidad Servicios,Historico,99.7147
2020-01-05,Disponibilidad Servicios,Historico,99.6478
2020-01-06,Disponibilidad Servicios,Historico,99.2397
2020-01-07,Disponibilidad Servicios,Historico,95.6625
2020-01-08,Disponibilidad Servicios,Historico,98.808
2020-01-09,Disponibilidad Servicios,Historico,99.4598
2020-01-10,Disponibilidad Servicios,Historico,99.5738
2020-01-11,Disponibilidad Servicios,Historico,99.852
2020-01-12,Disponibilidad Servicios,Historico,99.3391
2020-01-13,Disponibilidad Servicios,Historico,99.1571
2020-01-14,Disponibilidad Servicios,Historico,99.0844
2020-01-15,Disponibilidad Servicios,Historico,99.0683
2020-01-16,Disponibilidad Servicios,Historico,98.5773
2020-01-17,Disponibilidad Servicios,Historico,99.6256
2020-01-18,Disponibilidad Servicios,Historico,99.0499
2020-01-19,Disponibilidad Servicios,Historico,98.6378
2020-01-20,Disponibilidad Servicios,Historico,99.9358
2020-01-21,Disponibilidad Servicios,Historico,99.7829
2020-01-22,Disponibilidad Servicios,Historico,99.4059
2020-01-23,Disponibilidad Servicios,Historico,99.1132
2020-01-24,Disponibilidad Servicios,Historico,98.5989
2020-01-25,Disponibilidad Servicios,Historico,99.7265
2020-01-26,Disponibilidad Servicios,Historico,99.6458
2020-01-27,Disponibilidad Servicios,Historico,98.7397
2020-01-28,Disponibilidad Servicios,Historico,99.2845
2020-01-29,Disponibilidad Servicios,Historico,98.771
2020-01-30,Disponibilidad Servicios,Historico,99.8567
2020-01-31,Disponibilidad Servicios,Historico,99.9201
2020-02-01,Disponibilidad Servicios,Historico,99.6472
2020-02-02,Disponibilidad Servicios,Historico,99.1582
2020-02-03,Disponibilidad Servicios,Historico,99.2348
2020-02-04,Disponibilidad Servicios,Historico,99.468
2020-02-05,Disponibilidad Servicios,Historico,99.4183
2020-02-06,Disponibilidad Servicios,Historico,99.0745
2020-02-07,Disponibilidad Servicios,Historico,99.1057
2020-02-08,Disponibilidad Servicios,Historico,98.9135
2020-02-09,Disponibilidad Servicios,Historico,99.7208
2020-02-10,Disponibilidad Servicios,Historico,99.6624
2020-02-11,Disponibilidad Servicios,Historico,99.9302
2020-02-12,Disponibilidad Servicios,Historico,99.3161
2020-02-13,Disponibilidad Servicios,Historico,98.8548
2020-02-14,Disponibilidad Servicios,Historico,99.2763
2020-02-15,Disponibilidad Servicios,Historico,98.823
2020-02-16,Disponibilidad Servicios,Historico,98.8635
2020-02-17,Disponibilidad Servicios,Historico,98.634
2020-02-18,Disponibilidad Servicios,Historico,99.0674
2020-02-19,Disponibilidad Servicios,Historico,92.6642
2020-02-20,Disponibilidad Servicios,Historico,98.9011
2020-02-21,Disponibilidad Servicios,Historico,98.675
2020-02-22,Disponibilidad Servicios,Historico,99.0535
2020-02-23,Disponibilidad Servicios,Historico,99.2355
2020-02-24,Disponibilidad Servicios,Historico,98.6456
2020-02-25,Disponibilidad Servicios,Historico,99.8874
2020-02-26,Disponibilidad Servicios,Historico,99.9102
2020-02-27,Disponibilidad Servicios,Historico,99.4056
2020-02-28,Disponibilidad Servicios,Historico,99.2062
2020-02-29,Disponibilidad Servicios,Historico,98.9725
2020-03-01,Disponibilidad Servicios,Historico,92.7518
2020-03-02,Disponibilidad Servicios,Historico,99.4884
2020-03-03,Disponibilidad Servicios,Historico,99.2739
2020-03-04,Disponibilidad Servicios,Historico,98.7332
2020-03-05,Disponibilidad Servicios,Historico,99.7069
2020-03-06,Disponibilidad Servicios,Historico,99.9423
2020-03-07,Disponibilidad Servicios,Historico,99.1272
2020-03-08,Disponibilidad Servicios,Historico,99.915
2020-03-09,Disponibilidad Servicios,Historico,98.8568
2020-03-10,Disponibilidad Servicios,Historico,98.6458
2020-03-11,Disponibilidad Servicios,Historico,98.8979
2020-03-12,Disponibilidad Servicios,Historico,96.8131
2020-03-13,Disponibilidad Servicios,Historico,99.2273
2020-03-14,Disponibilidad Servicios,Historico,99.1852
2020-03-15,Disponibilidad Servicios,Historico,99.2688
2020-03-16,Disponibilidad Servicios,Historico,99.5525
2020-03-17,Disponibilidad Servicios,Historico,99.9304
2020-03-18,Disponibilidad Servicios,Historico,98.836
2020-03-19,Disponibilidad Servicios,Historico,98.8464
2020-03-20,Disponibilidad Servicios,Historico,99.057
2020-03-21,Disponibilidad Servicios,Historico,99.7612
2020-03-22,Disponibilidad Servicios,Historico,99.9056
2020-03-23,Disponibilidad Servicios,Historico,99.5839
2020-03-24,Disponibilidad Servicios,Historico,98.8804
2020-03-25,Disponibilidad Servicios,Historico,98.9067
2020-03-26,Disponibilidad Servicios,Historico,99.6316
2020-03-27,Disponibilidad Servicios,Historico,99.7386
2020-03-28,Disponibilidad Servicios,Historico,99.3533
2020-03-29,Disponibilidad Servicios,Historico,99.7651
2020-03-30,Disponibilidad Servicios,Historico,99.3841
2020-03-31,Disponibilidad Servicios,Historico,99.5182
2020-04-01,Disponibilidad Servicios,Historico,99.1106
2020-04-02,Disponibilidad Servicios,Historico,93.5222
2020-04-03,Disponibilidad Servicios,Historico,99.1462
2020-04-04,Disponibilidad Servicios,Historico,99.7545
2020-04-05,Disponibilidad Servicios,Historico,99.8446
2020-04-06,Disponibilidad Servicios,Historico,99.2378
2020-04-07,Disponibilidad Servicios,Historico,98.6902
2020-04-08,Disponibilidad Servicios,Historico,99.8638
2020-04-09,Disponibilidad Servicios,Historico,99.6804
2020-04-10,Disponibilidad Servicios,Historico,99.7844
2020-04-11,Disponibilidad Servicios,Historico,99.3787
2020-04-12,Disponibilidad Servicios,Historico,99.9357
2020-04-13,Disponibilidad Servicios,Historico,99.1059
2020-04-14,Disponibilidad Servicios,Historico,99.0152
2020-04-15,Disponibilidad Servicios,Historico,93.2635
2020-04-16,Disponibilidad Servicios,Historico,99.7837
2020-04-17,Disponibilidad Servicios,Historico,99.1853
2020-04-18,Disponibilidad Servicios,Historico,98.5016
2020-04-19,Disponibilidad Servicios,Historico,98.8178
2020-04-20,Disponibilidad Servicios,Historico,99.4861
2020-04-21,Disponibilidad Servicios,Historico,99.2177
2020-04-22,Disponibilidad Servicios,Historico,98.9903
2020-04-23,Disponibilidad Servicios,Historico,99.8602
2020-04-24,Disponibilidad Servicios,Historico,99.2655
2020-04-25,Disponibilidad Servicios,Historico,98.5856
2020-04-26,Disponibilidad Servicios,Historico,99.9216
2020-04-27,Disponibilidad Servicios,Historico,99.2388
2020-04-28,Disponibilidad Servicios,Historico,98.8321
2020-04-29,Disponibilidad Servicios,Historico,99.4909
2020-04-30,Disponibilidad Servicios,Historico,96.2594
2020-05-01,Disponibilidad Servicios,Historico,99.1029
2020-05-02,Disponibilidad Servicios,Historico,99.8758
2020-05-03,Disponibilidad Servicios,Historico,98.9865
2020-05-04,Disponibilidad Servicios,Historico,99.6017
2020-05-05,Disponibilidad Servicios,Historico,93.2085
2020-05-06,Disponibilidad Servicios,Historico,99.5507
2020-05-07,Disponibilidad Servicios,Historico,99.2832
2020-05-08,Disponibilidad Servicios,Historico,99.1265
2020-05-09,Disponibilidad Servicios,Historico,99.1747
2020-05-10,Disponibilidad Servicios,Historico,96.8328
2020-05-11,Disponibilidad Servicios,Historico,98.5599
2020-05-12,Disponibilidad Servicios,Historico,98.5228
2020-05-13,Disponibilidad Servicios,Historico,99.2475
2020-05-14,Disponibilidad Servicios,Historico,98.7214
2020-05-15,Disponibilidad Servicios,Historico,98.9642
2020-05-16,Disponibilidad Servicios,Historico,99.6824
2020-05-17,Disponibilidad Servicios,Historico,98.8379
2020-05-18,Disponibilidad Servicios,Historico,98.8436
2020-05-19,Disponibilidad Servicios,Historico,99.2988
2020-05-20,Disponibilidad Servicios,Historico,99.3449
2020-05-21,Disponibilidad Servicios,Historico,99.1229
2020-05-22,Disponibilidad Servicios,Historico,99.02
2020-05-23,Disponibilidad Servicios,Historico,99.327
2020-05-24,Disponibilidad Servicios,Historico,98.6772
2020-05-25,Disponibilidad Servicios,Historico,98.5534
2020-05-26,Disponibilidad Servicios,Historico,99.6738
2020-05-27,Disponibilidad Servicios,Historico,99.6491
2020-05-28,Disponibilidad Servicios,Historico,99.0871
2020-05-29,Disponibilidad Servicios,Historico,99.8411
2020-05-30,Disponibilidad Servicios,Historico,99.3606
2020-05-31,Disponibilidad Servicios,Historico,99.4163
2020-06-01,Disponibilidad Servicios,Historico,99.1275
2020-06-02,Disponibilidad Servicios,Historico,98.748
2020-06-03,Disponibilidad Servicios,Historico,98.5518
2020-06-04,Disponibilidad Servicios,Historico,99.5401
2020-06-05,Disponibilidad Servicios,Historico,98.909
2020-06-06,Disponibilidad Servicios,Historico,98.5182
2020-06-07,Disponibilidad Servicios,Historico,99.3527
2020-06-08,Disponibilidad Servicios,Historico,99.9041
2020-06-09,Disponibilidad Servicios,Historico,98.8814
2020-06-10,Disponibilidad Servicios,Historico,99.9361
2020-06-11,Disponibilidad Servicios,Historico,98.6485
2020-06-12,Disponibilidad Servicios,Historico,98.5966
2020-06-13,Disponibilidad Servicios,Historico,98.9571
2020-06-14,Disponibilidad Servicios,Historico,99.8785
2020-06-15,Disponibilidad Servicios,Historico,99.8315
2020-06-16,Disponibilidad Servicios,Historico,99.8525
2020-06-17,Disponibilidad Servicios,Historico,99.3307
2020-06-18,Disponibilidad Servicios,Historico,98.5961
2020-06-19,Disponibilidad Servicios,Historico,99.3313
2020-06-20,Disponibilidad Servicios,Historico,99.7211
2020-06-21,Disponibilidad Servicios,Historico,99.236
2020-06-22,Disponibilidad Servicios,Historico,99.4072
2020-06-23,Disponibilidad Servicios,Historico,99.066
2020-06-24,Disponibilidad Servicios,Historico,99.9443
2020-06-25,Disponibilidad Servicios,Historico,99.8507
2020-06-26,Disponibilidad Servicios,Historico,99.7931
2020-06-27,Disponibilidad Servicios,Historico,98.9612
2020-06-28,Disponibilidad Servicios,Historico,98.5207
2020-06-29,Disponibilidad Servicios,Historico,99.7988
2020-06-30,Disponibilidad Servicios,Historico,99.8671
2020-07-01,Disponibilidad Servicios,Historico,98.8323
2020-07-02,Disponibilidad Servicios,Historico,99.551
2020-07-03,Disponibilidad Servicios,Historico,99.2779
2020-07-04,Disponibilidad Servicios,Historico,99.7352
2020-07-05,Disponibilidad Servicios,Historico,98.7872
2020-07-06,Disponibilidad Servicios,Historico,99.889
2020-07-07,Disponibilidad Servicios,Historico,99.2873
2020-07-08,Disponibilidad Servicios,Historico,98.9387
2020-07-09,Disponibilidad Servicios,Historico,99.7552
2020-07-10,Disponibilidad Servicios,Historico,99.0097
2020-07-11,Disponibilidad Servicios,Historico,99.3782
2020-07-12,Disponibilidad Servicios,Historico,99.263
2020-07-13,Disponibilidad Servicios,Historico,98.6619
2020-07-14,Disponibilidad Servicios,Historico,98.9593
2020-07-15,Disponibilidad Servicios,Historico,99.2106
2020-07-16,Disponibilidad Servicios,Historico,99.9475
2020-07-17,Disponibilidad Servicios,Historico,98.7258
2020-07-18,Disponibilidad Servicios,Historico,98.7281
2020-07-19,Disponibilidad Servicios,Historico,99.4266
2020-07-20,Disponibilidad Servicios,Historico,99.6499
2020-07-21,Disponibilidad Servicios,Historico,99.3854
2020-07-22,Disponibilidad Servicios,Historico,99.0936
2020-07-23,Disponibilidad Servicios,Historico,99.5713
2020-07-24,Disponibilidad Servicios,Historico,99.4175
2020-07-25,Disponibilidad Servicios,Historico,99.0909
2020-07-26,Disponibilidad Servicios,Historico,94.5911
2020-07-27,Disponibilidad Servicios,Historico,99.4732
2020-07-28,Disponibilidad Servicios,Historico,98.714
2020-07-29,Disponibilidad Servicios,Historico,99.7022
2020-07-30,Disponibilidad Servicios,Historico,99.2235
2020-07-31,Disponibilidad Servicios,Historico,98.689
2020-08-01,Disponibilidad Servicios,Historico,99.0681
2020-08-02,Disponibilidad Servicios,Historico,99.941
2020-08-03,Disponibilidad Servicios,Historico,99.031
2020-08-04,Disponibilidad Servicios,Historico,98.637
2020-08-05,Disponibilidad Servicios,Historico,99.1178
2020-08-06,Disponibilidad Servicios,Historico,99.2656
2020-08-07,Disponibilidad Servicios,Historico,99.6437
2020-08-08,Disponibilidad Servicios,Historico,99.5936
2020-08-09,Disponibilidad Servicios,Historico,99.8468
2020-08-10,Disponibilidad Servicios,Historico,98.8658
2020-08-11,Disponibilidad Servicios,Historico,98.9297
2020-08-12,Disponibilidad Servicios,Historico,99.9462
2020-08-13,Disponibilidad Servicios,Historico,99.0323
2020-08-14,Disponibilidad Servicios,Historico,99.3371
2020-08-15,Disponibilidad Servicios,Historico,99.1487
2020-08-16,Disponibilidad Servicios,Historico,98.5049
2020-08-17,Disponibilidad Servicios,Historico,99.3773
2020-08-18,Disponibilidad Servicios,Historico,99.364
2020-08-19,Disponibilidad Servicios,Historico,98.7667
2020-08-20,Disponibilidad Servicios,Historico,99.7134
2020-08-21,Disponibilidad Servicios,Historico,99.4666
2020-08-22,Disponibilidad Servicios,Historico,99.2428
2020-08-23,Disponibilidad Servicios,Historico,99.3912
2020-08-24,Disponibilidad Servicios,Historico,99.4632
2020-08-25,Disponibilidad Servicios,Historico,98.7637
2020-08-26,Disponibilidad Servicios,Historico,92.1956
2020-08-27,Disponibilidad Servicios,Historico,99.1366
2020-08-28,Disponibilidad Servicios,Historico,99.4116
2020-08-29,Disponibilidad Servicios,Historico,99.569
2020-08-30,Disponibilidad Servicios,Historico,94.0391
2020-08-31,Disponibilidad Servicios,Historico,98.5692
2020-09-01,Disponibilidad Servicios,Historico,97.6144
2020-09-02,Disponibilidad Servicios,Historico,98.7758
2020-09-03,Disponibilidad Servicios,Historico,99.3918
2020-09-04,Disponibilidad Servicios,Historico,98.6547
2020-09-05,Disponibilidad Servicios,Historico,99.3821
2020-09-06,Disponibilidad Servicios,Historico,98.737
2020-09-07,Disponibilidad Servicios,Historico,93.5569
2020-09-08,Disponibilidad Servicios,Historico,99.718
2020-09-09,Disponibilidad Servicios,Historico,99.1012
2020-09-10,Disponibilidad Servicios,Historico,98.9745
2020-09-11,Disponibilidad Servicios,Historico,99.5161
2020-09-12,Disponibilidad Servicios,Historico,99.302
2020-09-13,Disponibilidad Servicios,Historico,99.0036
2020-09-14,Disponibilidad Servicios,Historico,99.1274
2020-09-15,Disponibilidad Servicios,Historico,99.6944
2020-09-16,Disponibilidad Servicios,Historico,93.6457
2020-09-17,Disponibilidad Servicios,Historico,98.8821
2020-09-18,Disponibilidad Servicios,Historico,98.7603
2020-09-19,Disponibilidad Servicios,Historico,99.7745
2020-09-20,Disponibilidad Servicios,Historico,93.9479
2020-09-21,Disponibilidad Servicios,Historico,99.3219
2020-09-22,Disponibilidad Servicios,Historico,99.6532
2020-09-23,Disponibilidad Servicios,Historico,99.7798
2020-09-24,Disponibilidad Servicios,Historico,99.6552
2020-09-25,Disponibilidad Servicios,Historico,99.6095
2020-09-26,Disponibilidad Servicios,Historico,98.951
2020-09-27,Disponibilidad Servicios,Historico,99.0488
2020-09-28,Disponibilidad Servicios,Historico,99.013
2020-09-29,Disponibilidad Servicios,Historico,98.9388
2020-09-30,Disponibilidad Servicios,Historico,99.585
2020-10-01,Disponibilidad Servicios,Historico,99.8618
2020-10-02,Disponibilidad Servicios,Historico,99.3843
2020-10-03,Disponibilidad Servicios,Historico,99.2606
2020-10-04,Disponibilidad Servicios,Historico,99.5698
2020-10-05,Disponibilidad Servicios,Historico,99.6612
2020-10-06,Disponibilidad Servicios,Historico,98.8494
2020-10-07,Disponibilidad Servicios,Historico,97.8423
2020-10-08,Disponibilidad Servicios,Historico,98.6885
2020-10-09,Disponibilidad Servicios,Historico,99.9454
2020-10-10,Disponibilidad Servicios,Historico,99.1762
2020-10-11,Disponibilidad Servicios,Historico,98.8377
2020-10-12,Disponibilidad Servicios,Historico,99.4769
2020-10-13,Disponibilidad Servicios,Historico,99.103
